Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 11/7/2023 4:28:38 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1997,All,Age00,[0],625.00000000,65.10416667,,1017.91530940,
EU,Europe,ALB,Albania,1998,All,Age00,[0],511.00000000,57.80542986,,840.46052632,
EU,Europe,ALB,Albania,2001,All,Age01_04,[1-4],73.00000000,29.31726908,,33.51114131,
EU,Europe,ALB,Albania,2001,Male,Age00,[0],186.00000000,52.69121813,,687.41222559,
EU,Europe,ALB,Albania,2001,Female,Age01_04,[1-4],34.00000000,29.05982906,,32.35876352,
EU,Europe,ALB,Albania,2002,Male,Age00,[0],128.00000000,52.67489712,,472.77831129,
EU,Europe,ALB,Albania,2002,Female,Age01_04,[1-4],36.00000000,29.26829268,,35.08600945,
EU,Europe,ALB,Albania,2007,All,Age01_04,[1-4],22.00000000,23.65591398,,13.44488514,
EU,Europe,ALB,Albania,2007,Female,Age01_04,[1-4],10.00000000,22.22222222,,12.87183514,
EU,Europe,ALB,Albania,2008,Male,Age00,[0],68.00000000,51.90839695,,361.56750146,
EU,Europe,ALB,Albania,2008,Female,Age01_04,[1-4],6.00000000,13.95348837,,8.17293940,
EU,Europe,ALB,Albania,2006,All,Age01_04,[1-4],20.00000000,13.60544218,,11.48963061,
EU,Europe,ALB,Albania,2005,All,Age01_04,[1-4],37.00000000,18.59296482,,19.74997598,
EU,Europe,ALB,Albania,2004,Female,Age01_04,[1-4],23.00000000,21.90476190,,23.50008174,
EU,Europe,ALB,Albania,2003,Male,Age00,[0],102.00000000,51.25628141,,389.65504068,
EU,Europe,ALB,Albania,2002,All,Age01_04,[1-4],74.00000000,25.42955326,,34.72043016,
EU,Europe,ALB,Albania,2000,Male,Age00,[0],211.00000000,64.32926829,,708.05369128,
EU,Europe,ALB,Albania,1999,Male,Age00,[0],267.00000000,71.01063830,,858.52090032,
EU,Europe,ALB,Albania,1997,Female,Age00,[0],282.00000000,64.38356164,,946.30872483,
